GEOID,Population,Black,Hispanic,Asian,Householdincome,Bachelor,Households_num,Ageunder5,Age5to9,Age10to14,Age15to24,Age25to44,Age45to64,Age65to74,Age75plus,Employment,No_vehicle,Vehicle_owned,Public_transportation,person_per_room1,person_per_room2
1129,15574,3708,165,18,44512.0,643,5261,824,765,1004,2150,3178,4438,2156,1059,5326,186,5075,0,5193,68
1131,10686,7571,58,2,36385.0,522,3626,682,499,897,1454,2341,2697,1275,841,3126,514,3112,27,3589,37
1133,23650,217,750,50,46096.0,1269,9219,1194,1350,1395,2695,5057,6885,2971,2103,9533,414,8805,30,9074,145
4001,66473,566,4535,365,34788.0,3265,19443,4223,4996,5513,9379,16051,16095,6265,3951,17888,2669,16774,130,16862,2581
4003,125092,4870,44675,2338,55077.0,13908,49239,6959,8121,7241,15336,29715,29604,16254,11862,44293,2913,46326,223,48073,1166
4005,144942,2035,21101,2554,61888.0,19762,51037,7401,7407,9564,34372,36086,31484,12264,6364,67266,2675,48362,1067,47631,3406
4007,53211,406,10192,408,51406.0,4613,22306,2720,3006,3101,5092,10058,13899,9156,6179,18822,1430,20876,13,21348,958
4009,38145,762,12697,273,57105.0,2399,11577,2602,2556,3256,5685,10835,7928,3076,2207,13452,527,11050,32,10902,675
4011,9542,183,4569,44,67723.0,750,3265,704,747,738,1591,2456,2076,739,491,4163,49,3216,0,3143,122
4012,16845,103,4762,152,39732.0,1022,8678,754,800,763,1346,2944,3560,3165,3513,5256,419,8259,1,7947,731
4013,4367186,245636,1376795,184645,72944.0,631052,1632151,265641,281715,308229,583193,1209390,1056762,390823,271433,2124706,86500,1545651,32059,1560517,71634
4015,211274,2227,36242,2387,49738.0,14549,93179,9001,9580,10944,18920,41270,57265,37293,27001,75923,4327,88852,569,90247,2932
4017,106609,1079,12562,489,46126.0,6881,36567,7012,7745,8700,13478,24472,25784,12115,7303,33938,3073,33494,402,33222,3345
4019,1035063,35638,393359,29420,59215.0,137833,417483,55710,59948,62351,157766,252728,241592,118538,86430,457733,30699,386784,7811,402689,14794
4021,420625,19398,130018,6339,65488.0,40942,145554,23169,26259,29256,48925,110266,96847,51958,33945,160912,5518,140036,317,139575,5979
4023,47463,216,39504,169,45089.0,4257,16428,3186,3729,3698,6489,10817,11021,4998,3525,18540,959,15469,182,15416,1012
4025,233789,1516,35018,2611,56170.0,29164,103934,9242,10163,11498,22031,41787,64556,45346,29166,92638,4094,99840,241,101261,2673
4027,202944,4192,131400,2301,52563.0,12942,72716,14282,13449,15191,30723,50709,40091,19383,19116,75261,3946,68770,990,65603,7113
5001,17273,4433,638,8,55022.0,1340,6595,1088,1173,1166,1858,4050,4597,2096,1245,7762,575,6020,2,6441,154
5003,19362,4852,1141,30,42683.0,1223,7239,1139,1235,1315,2262,4193,5243,2399,1576,7064,586,6653,14,7110,129
5005,41476,113,1067,126,43530.0,4008,18835,1741,2039,2199,3829,7918,11080,6738,5932,15127,801,18034,2,18427,408
5007,278774,5022,47673,11496,76887.0,41442,101109,19003,20983,20740,35168,81397,64398,22065,15020,137111,2772,98337,141,97036,4073
5009,37445,92,1026,252,48625.0,3125,15190,2151,2508,2380,4240,8652,9804,4478,3232,16263,840,14350,24,15018,172
5011,10597,2792,1686,9,41972.0,644,3706,714,660,918,1054,2727,2617,1090,817,3993,319,3387,1,3637,69
5013,4811,1069,215,0,55904.0,256,1481,186,233,277,677,1054,1403,550,431,1866,77,1404,4,1480,1
5015,28154,141,4321,286,53366.0,2892,11168,1480,1698,1826,3219,5792,7724,4029,2386,11779,516,10652,14,10647,521
5017,10405,5581,632,36,33770.0,737,4014,602,552,789,1348,2082,2864,1168,1000,3045,535,3479,0,3889,125
5019,21569,5259,1065,121,45351.0,2338,8056,1100,1060,1276,5528,4414,4698,1969,1524,9602,407,7649,46,7932,124
5021,14661,86,113,7,39817.0,849,6152,788,832,975,1719,3334,3884,1728,1401,6329,394,5758,3,6077,75
5023,24848,66,643,59,48400.0,2005,10664,1164,1310,1378,2482,5135,6747,3621,3011,9495,276,10388,0,10425,239
5025,7632,1110,0,0,48183.0,607,2745,357,348,579,817,1868,2101,969,593,2992,219,2526,0,2730,15
5027,22947,8212,657,137,41115.0,1881,7768,1366,1071,1586,4873,4955,5267,2140,1689,8970,327,7441,47,7478,290
5029,20687,2157,871,125,45812.0,2009,8460,1154,1370,1430,2352,4668,5740,2305,1668,9044,660,7800,5,8338,122
5031,109875,17037,5828,1221,51788.0,12635,41865,7502,7841,7687,16328,31161,24376,8762,6218,51184,2463,39402,285,41092,773
5033,60483,939,4979,782,52057.0,5541,22748,3793,3776,4615,7440,14910,15861,5990,4098,24572,886,21862,2,22078,670
5035,48338,23948,1376,358,46452.0,3690,18561,3621,3882,3390,6580,12191,11984,4094,2596,20689,1877,16684,20,18049,512
5037,16935,2662,363,0,45247.0,1004,6390,1041,1113,1173,1861,4163,4445,1852,1287,7215,517,5873,0,6010,380
5039,6645,2876,73,6,34337.0,395,2326,335,211,486,953,1347,1755,925,633,2452,211,2115,4,2272,54
5041,11530,5552,768,27,33295.0,746,4721,790,769,919,1324,2589,2971,1285,883,4270,667,4054,2,4609,112
5043,17511,5060,670,6,42891.0,1703,6970,1061,875,1212,3193,3871,4205,1783,1311,7386,611,6359,0,6814,156
5045,123191,14489,5281,1537,54845.0,15682,46445,7301,8228,7963,23233,32989,28059,9585,5833,58974,2141,44304,86,45548,897
5047,17159,138,589,142,42128.0,914,6718,938,1217,1111,2090,3890,4573,1888,1452,6824,370,6348,75,6546,172
5049,12072,34,55,53,36950.0,584,4636,591,670,832,1301,2257,3331,1703,1387,4081,185,4451,26,4421,215
5051,99694,8267,5982,692,49985.0,11173,41919,5204,6093,5129,10990,22414,26549,13458,9857,41466,2920,38999,123,40826,1093
5053,17912,396,544,50,62479.0,1648,6850,1034,955,1343,2026,4434,4937,1889,1294,7642,183,6667,0,6761,89
5055,45665,1110,1374,244,51367.0,3283,17583,3012,2890,3388,5640,12022,11482,4219,3012,19783,838,16745,40,17126,457
5057,20352,6174,2706,27,43592.0,1342,7566,1381,1425,1569,2486,4390,5474,2086,1541,8070,688,6878,42,7348,218
5059,33096,3691,1211,101,46724.0,2624,12070,1611,2226,2114,3543,8466,8953,3769,2414,12515,635,11435,30,11713,357
5061,12894,2643,1705,124,39558.0,822,5253,905,782,1053,1550,3266,3079,1309,950,5600,202,5051,0,5087,166
5063,37796,725,2613,295,50028.0,2906,14349,2361,2206,2867,4968,9076,9883,3746,2689,16176,899,13450,27,14024,325
5065,13653,120,350,2,45318.0,1229,4623,658,529,867,1329,2956,3939,1875,1500,4429,335,4288,0,4574,49
5067,16878,1838,521,0,39154.0,905,5978,900,980,958,2053,4673,4323,1821,1170,5921,366,5612,0,5947,31
5069,68199,38050,1559,577,43720.0,6200,24416,4074,4193,4051,9470,16814,17637,7341,4619,25161,1929,22487,113,24049,367
5071,25853,418,3668,683,40628.0,1751,9849,1638,1592,1967,3703,6009,6747,2554,1643,10535,502,9347,15,9572,277
5073,6373,2266,202,45,36083.0,381,2500,257,372,312,866,1265,1798,840,663,2254,208,2292,7,2451,49
5075,16292,217,283,6,40746.0,1148,6260,964,985,1042,2333,3706,4193,1720,1349,6558,329,5931,1,6122,138
5077,8832,4853,239,20,29082.0,519,2767,487,372,505,1220,2356,2194,969,729,2557,551,2216,0,2694,73
5079,13092,3908,564,0,49474.0,609,3391,552,439,787,1443,4375,3463,1242,791,3385,162,3229,11,3346,45
5081,12104,2456,212,41,57614.0,857,4753,723,676,838,1489,2727,3143,1478,1030,4992,326,4427,0,4644,109
5083,21299,306,652,365,46570.0,1260,8271,1249,1084,1443,2423,4990,5934,2444,1732,9118,478,7793,40,8051,220
5085,73824,4147,3465,710,62561.0,6796,27277,4736,4625,6160,9047,20590,18579,6233,3854,33081,1181,26096,51,26951,326
5087,16496,14,994,107,47862.0,994,6056,1118,1165,891,1830,3750,4592,1962,1188,6621,249,5807,0,5884,172
5089,16750,127,401,107,41038.0,1296,6950,726,937,897,1389,3080,5063,2834,1824,5728,312,6638,22,6794,156
5091,42875,10926,1533,57,46610.0,3010,16240,2597,2824,3003,5236,11073,11088,4276,2778,16620,1433,14807,72,15669,571
5093,41061,14304,1881,162,45740.0,2517,15565,2888,2969,3020,5415,10485,10295,3656,2333,17443,1580,13985,47,14968,597
5095,6903,2960,24,20,41667.0,463,2816,469,429,344,800,1382,1898,870,711,2524,382,2434,0,2706,110
5097,8525,46,383,83,41032.0,701,3669,392,422,469,821,1635,2500,1311,975,3119,121,3548,0,3639,30
5099,8340,2941,1,6,42670.0,479,3070,479,587,592,958,1555,2457,965,747,3138,182,2888,46,2992,78
5101,7343,4,83,7,42817.0,598,2769,363,355,430,850,1395,2006,1194,750,2667,71,2698,0,2731,38
5103,22858,9626,573,7,43338.0,1350,8686,1252,1383,1672,2512,4948,6427,2746,1918,8469,1007,7679,0,8610,76
5105,10056,256,310,6,47500.0,893,3732,510,740,598,1118,2306,2783,1194,807,3782,264,3468,4,3589,143
5107,16923,10805,342,0,32235.0,1070,6315,1247,1166,1307,2227,3543,4237,1933,1263,5525,989,5326,0,6220,95
5109,10234,409,682,24,46672.0,897,4042,523,711,566,1288,2307,2782,1198,859,4359,191,3851,3,3916,126
5111,23212,956,782,7,42854.0,1318,8992,1465,1466,1688,2818,5463,6165,2472,1675,9442,778,8214,0,8792,200
5113,19476,79,1290,56,43444.0,1322,7736,1141,1233,1271,2224,4040,5163,2550,1854,7466,413,7323,21,7545,191
5115,63234,1576,6026,764,47322.0,6480,23304,3907,4093,4180,10168,15617,15516,5685,4068,26903,1119,22185,107,22837,467
5117,8306,915,163,29,47335.0,614,3385,427,381,516,957,1773,2318,1008,926,3573,85,3300,0,3334,51
5119,397931,148329,25021,8962,55235.0,58292,164697,25620,26237,26056,49182,109307,99343,38444,23742,187423,11641,153056,1154,161237,3460
5121,18442,176,443,51,42225.0,1311,7234,1186,1144,1361,2116,4382,4658,2028,1567,6961,391,6843,1,7058,176
5123,23623,12609,1298,30,34981.0,1085,8146,1438,1459,1301,2740,6917,5881,2421,1466,8020,1146,7000,1,7959,187
5125,122308,9938,6383,1376,68605.0,16275,47468,6966,8337,8134,14021,32331,30802,12867,8850,59150,1807,45661,74,46705,763
5127,9928,291,794,76,43577.0,562,3938,473,637,871,1026,2245,2669,1188,819,4192,313,3625,9,3844,94
